ID_Error_V1,Df,kf,R_RI,I_RI,WaveL,dp,Np,Version,Hash,created_at,updated_at
1,2.19,1.2,1.81,0.81,870.0,39.2,44.0,0.1,1671583d915601147a28c184757c18fc693247b5,2019-07-16 06:07:56,2019-07-16 06:07:56
2,2.24,1.2,1.54,0.57,869.5,47.9,48.0,0.1,6f06dbf2562513187870ecf25c90554fbd049ff3,2019-07-16 06:07:56,2019-07-16 06:07:56
3,1.91,1.2,1.71,0.39,865.9,16.7,66.0,0.1,677ad26a7119adcf82dcf82f86212b4b5d8cd2f4,2019-07-16 06:07:56,2019-07-16 06:07:56
4,2.1,1.2,1.92,0.66,865.3,26.1,48.0,0.1,0aea280e34a479601eeeefe2020068cde6faaeef,2019-07-16 06:07:56,2019-07-16 06:07:56
5,1.92,1.2,1.7,0.95,876.9,28.6,59.0,0.1,187f785ae6b42d8886f0e9936fbc9695265bc6b7,2019-07-16 06:07:56,2019-07-16 06:07:56
6,2.08,1.2,1.89,0.59,873.9,44.2,57.0,0.1,9e6ae9cf299323895469b7b52416432a5439a9da,2019-07-16 06:07:56,2019-07-16 06:07:56
7,1.9,1.2,1.77,0.59,864.4,35.9,63.0,0.1,b1cc97cc3c6f776ec6f071809aa35e881ccfccfd,2019-07-16 06:07:56,2019-07-16 06:07:56
8,2.01,1.2,1.86,0.8,870.3,19.6,53.0,0.1,d561d215e75c527aeccb323289d0a80236a1aaca,2019-07-16 06:07:56,2019-07-16 06:07:56
9,2.05,1.2,1.86,0.59,865.9,25.8,59.0,0.1,88cb0a18ccda85fdd47b4c685a1dd663d9b2f81a,2019-07-16 06:07:56,2019-07-16 06:07:56
10,2.15,1.2,1.8,0.77,869.1,20.7,61.0,0.1,289af756dfc6e5e44cb72f115a242285c2d1dcea,2019-07-16 06:07:56,2019-07-16 06:07:56
11,2.37,1.2,1.76,0.34,871.7,50.1,54.0,0.1,a5a049597e764d2452e8ac3c3eb04b5a29a14c79,2019-07-16 06:07:56,2019-07-16 06:07:56
12,2.3,1.2,1.67,0.71,867.3,21.1,38.0,0.1,34b2cc02016f9ad84601136af62cbc6ab13dcdd3,2019-07-16 06:07:56,2019-07-16 06:07:56
13,2.07,1.2,1.94,0.29,865.9,31.7,63.0,0.1,e44703f950996676c577aad53fc8c243ba07b642,2019-07-16 06:07:56,2019-07-16 06:07:56
14,2.13,1.2,1.66,0.91,869.7,22.6,73.0,0.1,8664be0d4d36f7dd4f451d8b2d2a4ba28d2c5d43,2019-07-16 06:07:56,2019-07-16 06:07:56
15,2.01,1.2,1.82,0.9,874.5,50.4,56.0,0.1,0c8a24bbb8e690f66909a774cbb2894c918349ec,2019-07-16 06:07:56,2019-07-16 06:07:56
16,2.28,1.2,1.86,0.38,873.8,21.2,48.0,0.1,dc40c807afa99e9c5dcbfedf61bf5186d5ec486e,2019-07-16 06:07:56,2019-07-16 06:07:56
17,2.32,1.2,1.38,0.57,865.7,35.8,47.0,0.1,4fee2d2b868520ea88a8a515bcc8576b260103e3,2019-07-16 06:07:56,2019-07-16 06:07:56
18,2.12,1.2,1.94,0.67,869.8,33.9,37.0,0.1,b4ada0041977e511be87a93d7658eb8e8ac2b784,2019-07-16 06:07:56,2019-07-16 06:07:56
19,1.91,1.2,1.68,0.63,871.2,19.7,40.0,0.1,7c3b3ae668c74b2d8e146664276b31ef6d57d961,2019-07-16 06:07:56,2019-07-16 06:07:56
20,2.11,1.2,1.5,0.72,873.5,30.7,55.0,0.1,67a14e5c8d8f82dd46b50c0c5ded5ef436559749,2019-07-16 06:07:56,2019-07-16 06:07:56
21,2.25,1.2,1.78,0.96,869.0,30.6,51.0,0.1,4095d4633a5fada364466e6ac55d0301d62ac6a1,2019-07-16 06:07:56,2019-07-16 06:07:56
22,2.05,1.2,1.56,0.85,873.0,31.2,59.0,0.1,6f1279ae86a819c1e155af7e2913485ea8c0a370,2019-07-16 06:07:56,2019-07-16 06:07:56
23,2.15,1.2,1.36,0.97,866.6,29.9,54.0,0.1,40c0ea09d603a49300a0553bbf60ec3814480342,2019-07-16 06:07:56,2019-07-16 06:07:56
24,2.27,1.2,1.5,0.68,875.2,23.2,57.0,0.1,36001cfbcf1a9a627abcc4077d0be50d67605dfc,2019-07-16 06:07:56,2019-07-16 06:07:56
25,2.27,1.2,1.79,0.58,867.5,21.0,45.0,0.1,09166ec0f759ef182a523a0918f2b32f3099d1dd,2019-07-16 06:07:56,2019-07-16 06:07:56
26,2.06,1.2,1.84,0.59,871.6,35.8,46.0,0.1,a1ad55c68410d9a04c607a133efc74226fc8e506,2019-07-16 06:07:56,2019-07-16 06:07:56
27,2.55,1.2,1.49,0.86,871.8,17.9,62.0,0.1,02d64cf501a196ba6fd43eceea0f1d6f2fa2e26b,2019-07-16 06:07:56,2019-07-16 06:07:56
28,2.1,1.2,1.64,0.62,871.7,20.8,52.0,0.1,6635b9edbdef2e0038c12f02d1e6b25adc4ed2e9,2019-07-16 06:07:56,2019-07-16 06:07:56
29,1.96,1.2,1.67,0.61,874.2,20.8,55.0,0.1,4eddbee72e34afb3524cfd6365020af210a182a3,2019-07-16 06:07:56,2019-07-16 06:07:56
30,2.36,1.2,1.55,0.64,866.5,30.3,60.0,0.1,881db587296ee6ff56823c9d1112631a90c392e7,2019-07-16 06:07:56,2019-07-16 06:07:56
31,2.15,1.2,1.98,0.85,876.7,26.9,46.0,0.1,922fd8b9bd870e0adbc159580c1b4377811d4a9f,2019-07-16 06:07:56,2019-07-16 06:07:56
32,2.76,1.2,1.7,0.86,878.7,42.6,23.0,0.1,038c3c2bb5f0d406a2bf283813bb99d31f271494,2019-07-16 06:07:56,2019-07-16 06:07:56
33,2.19,1.2,1.79,0.9,871.8,35.5,56.0,0.1,e8066ef07be3f7d3544113779f1c1eeeff91360c,2019-07-16 06:07:56,2019-07-16 06:07:56
34,2.3,1.2,1.46,0.74,869.1,36.3,56.0,0.1,8e6bcb1f75cf04c5cd288908c2ebbb4f3d1b79dd,2019-07-16 06:07:56,2019-07-16 06:07:56
