ID_TMatrix_V1_Out,TMatrix_ABS_CRS,TMatrix_SCA_CRS,created_at,updated_at,MLink
1,0.01056770893910522,0.0008153107099652653,2019-07-16 06:07:56,2019-07-16 06:07:56,1
2,0.017594199857624167,0.0014469397147480285,2019-07-16 06:07:56,2019-07-16 06:07:56,2
3,0.0006244920082296413,1.307353972369975e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,3
4,0.002512156428965421,9.089214854843889e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,4
5,0.006558058344169465,0.00022572133955100295,2019-07-16 06:07:56,2019-07-16 06:07:56,5
6,0.014004494431638703,0.0016009788423596515,2019-07-16 06:07:56,2019-07-16 06:07:56,6
7,0.008922708704566434,0.0005538655779525952,2019-07-16 06:07:56,2019-07-16 06:07:56,7
8,0.0014717680182770425,3.629901790398201e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,8
9,0.002838544711182922,0.00010687417105836157,2019-07-16 06:07:56,2019-07-16 06:07:56,9
10,0.001992822164030202,5.241546565812361e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,10
11,0.012862081261285747,0.0023977083015848423,2019-07-16 06:07:56,2019-07-16 06:07:56,11
12,0.0013031798518860869,2.2936306868550717e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,12
13,0.002601057360432966,0.0003781939705733503,2019-07-16 06:07:56,2019-07-16 06:07:56,13
14,0.0038866654041650236,0.00012198331270570926,2019-07-16 06:07:56,2019-07-16 06:07:56,14
15,0.03140083129238501,0.0039881443669630735,2019-07-16 06:07:56,2019-07-16 06:07:56,15
16,0.0008184836661348456,2.6616133135692694e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,16
17,0.007999144570454288,0.0002871280472633896,2019-07-16 06:07:56,2019-07-16 06:07:56,17
18,0.004494327855325642,0.0002449605067097259,2019-07-16 06:07:56,2019-07-16 06:07:56,18
19,0.0009906041716397163,1.2511425325978389e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,19
20,0.006786649692864429,0.0001982440282545673,2019-07-16 06:07:56,2019-07-16 06:07:56,20
21,0.006714115145200993,0.0003360028850316334,2019-07-16 06:07:56,2019-07-16 06:07:56,21
22,0.008439189536619048,0.00032809353516359026,2019-07-16 06:07:56,2019-07-16 06:07:56,22
23,0.008811494738056268,0.00030142407256857827,2019-07-16 06:07:56,2019-07-16 06:07:56,23
24,0.0028927813752667782,5.619293307417648e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,24
25,0.0011715808934937154,2.5977441252701226e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,25
26,0.006065179014754887,0.00037193962237724973,2019-07-16 06:07:56,2019-07-16 06:07:56,26
27,0.001875242939676385,3.812761683931611e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,27
28,0.001544211659376418,2.6982223400172724e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,28
29,0.0015967834737662715,2.4869428448096353e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,29
30,0.0063192312091224735,0.00026122960067585343,2019-07-16 06:07:56,2019-07-16 06:07:56,30
31,0.003182464007148017,0.00011543152296808813,2019-07-16 06:07:56,2019-07-16 06:07:56,31
32,0.007930211848051866,0.00041671714512014636,2019-07-16 06:07:56,2019-07-16 06:07:56,32
33,0.010836843826770415,0.0008072545534116319,2019-07-16 06:07:56,2019-07-16 06:07:56,33
34,0.012089125010938583,0.000627794527503423,2019-07-16 06:07:56,2019-07-16 06:07:56,34
35,0.0019573787803320204,3.079677422400677e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,35
36,0.0011743016654307745,2.7788724451440584e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,36
37,0.004395561871670811,0.00016214737978358378,2019-07-16 06:07:56,2019-07-16 06:07:56,37
38,0.0015280675978249273,6.169640200161853e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,38
39,0.00225450165457599,5.014416720010117e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,39
40,0.006375489165935972,0.00035351662843275777,2019-07-16 06:07:56,2019-07-16 06:07:56,40
41,0.0019228396985265983,3.390379394137304e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,41
42,0.0031185110553317284,6.52615655851712e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,42
43,0.0019333466491328415,6.438304653866092e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,43
44,0.005633102913751612,0.0003140169882567439,2019-07-16 06:07:56,2019-07-16 06:07:56,44
45,0.0012546682845128864,1.6353033325651003e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,45
46,0.008782075959200584,0.00035269701061446814,2019-07-16 06:07:56,2019-07-16 06:07:56,46
47,0.0008520937110535066,1.5527599940565643e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,47
48,0.001500680510145578,0.0001245628828985817,2019-07-16 06:07:56,2019-07-16 06:07:56,48
49,0.0047987885239513485,8.945935098928706e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,49
50,0.0012597055141009808,3.889287639441029e-05,2019-07-16 06:07:56,2019-07-16 06:07:56,50
